distance_km,duration_min,traffic_level,weather,time_of_day,demand_level,passengers,ride_price
8.64,20.8,low,clear,evening,high,1,516.97
19.36,37.9,low,clear,evening,low,1,724.11
4.6,,low,clear,evening,high,2,347.13
6.24,10.8,low,clear,night,low,3,406.77
1.0,3.0,low,clear,evening,low,3,190.11
22.2,53.1,low,clear,night,low,1,970.74
18.88,43.1,medium,clear,night,high,3,1363.66
19.98,47.1,medium,rainy,evening,high,2,1334.86
22.04,46.0,low,clear,,low,3,838.65
13.28,24.1,low,clear,evening,high,4,804.51
16.27,34.0,medium,clear,morning,low,3,732.29
4.6,19.6,high,clear,evening,high,1,511.93
3.92,19.1,high,clear,night,low,4,590.81
18.98,42.4,,clear,evening,low,1,816.11
13.61,24.3,low,rainy,evening,high,4,888.49
16.17,37.0,low,rainy,morning,low,1,703.95
21.61,46.5,,clear,night,low,3,1007.98
18.06,47.5,medium,clear,morning,low,1,841.33
15.86,38.6,low,rainy,,low,1,688.15
16.01,39.1,low,clear,morning,high,3,890.33
9.07,14.4,low,rainy,morning,high,3,547.35
1.64,7.3,medium,clear,evening,high,1,208.31
12.68,24.6,low,clear,evening,low,4,604.77
6.64,29.0,high,clear,morning,low,2,508.88
11.91,24.1,low,rainy,morning,low,2,477.85
24.01,55.0,high,clear,morning,low,2,1212.03
7.16,8.4,low,clear,morning,low,2,261.96
2.39,13.8,high,clear,morning,high,1,414.75
8.45,22.1,high,clear,evening,high,2,664.9
8.79,31.9,high,clear,morning,high,1,759.74
18.8,59.0,high,clear,morning,low,1,1065.3
15.95,33.7,medium,clear,morning,low,2,679.04
22.12,46.4,medium,rainy,evening,low,3,1201.34
18.87,38.9,medium,rainy,morning,low,4,942.23
11.85,21.5,low,clear,morning,low,2,451.92
22.94,,medium,clear,night,low,2,1283.78
5.34,12.7,medium,clear,morning,low,4,406.11
1.42,14.7,high,clear,evening,high,3,482.81
3.25,14.5,medium,clear,evening,low,4,445.6
20.45,46.9,low,rainy,morning,high,4,1192.7
13.36,33.2,medium,rainy,evening,low,4,884.94
5.19,11.6,low,clear,evening,low,4,331.85
14.43,27.9,low,clear,night,low,2,659.22
4.94,16.4,medium,clear,morning,low,2,315.95
19.74,37.3,low,clear,morning,low,2,673.28
12.94,24.9,low,clear,morning,low,1,491.36
11.16,21.4,low,clear,evening,high,3,661.36
9.0,20.1,low,clear,evening,low,3,471.45
17.94,38.9,low,clear,morning,low,4,787.36
10.64,24.1,low,clear,morning,low,1,403.94
3.18,12.5,medium,clear,night,low,2,327.85
4.01,6.4,low,clear,morning,low,1,163.66
26.96,66.3,high,rainy,evening,low,4,1808.05
25.51,58.3,high,rainy,evening,high,2,1967.44
19.83,42.6,medium,clear,morning,high,1,1080.72
8.03,15.5,low,rainy,morning,high,3,543.64
27.16,68.0,medium,rainy,morning,low,4,1407.45
,59.4,high,clear,night,low,4,1567.89
20.3,42.1,medium,clear,morning,high,1,1063.57
13.02,40.8,high,clear,morning,low,2,790.96
8.2,15.7,medium,clear,morning,low,1,386.66
3.42,12.8,medium,clear,morning,low,2,258.21
25.35,56.4,low,clear,evening,high,3,1349.57
13.2,31.2,medium,clear,morning,low,2,574.83
,14.0,low,clear,evening,high,1,385.84
19.33,34.4,medium,clear,evening,high,3,1181.92
16.55,44.9,high,rainy,night,low,1,1178.26
5.61,18.0,low,clear,morning,high,1,370.51
24.1,58.4,medium,clear,night,low,1,1238.62
21.43,43.9,low,clear,evening,low,1,851.98
20.37,44.6,medium,clear,morning,low,2,858.53
,25.7,low,clear,evening,high,4,841.58
17.86,34.2,high,clear,night,low,4,1215.35
16.69,31.1,low,clear,morning,low,1,567.6
18.48,53.3,high,clear,night,low,1,1263.21
3.1,15.5,high,rainy,evening,low,2,364.51
12.11,29.8,medium,clear,evening,low,3,695.24
1.93,7.7,medium,clear,night,low,3,318.07
14.24,26.2,medium,clear,morning,low,4,703.01
9.77,29.1,high,clear,night,high,2,933.57
4.73,3.0,low,clear,morning,low,1,173.24
3.61,12.3,medium,clear,evening,high,1,341.89
16.78,36.3,low,clear,evening,low,1,680.33
5.44,14.7,medium,clear,morning,high,1,384.05
25.96,38.0,low,rainy,evening,low,4,1149.39
16.6,36.5,medium,clear,morning,low,2,741.37
10.23,28.3,medium,clear,morning,high,4,839.7
16.87,22.8,,rainy,morning,low,3,833.65
1.42,9.0,medium,clear,morning,low,3,229.99
26.87,51.9,medium,rainy,morning,high,2,1470.43
13.92,36.3,medium,clear,morning,high,4,942.63
22.09,47.4,medium,rainy,evening,low,1,1102.39
3.05,9.1,medium,clear,evening,low,1,231.68
14.04,46.1,high,clear,evening,high,2,1156.74
14.15,32.9,low,clear,morning,high,2,674.2
26.31,52.8,,clear,night,high,3,1470.89
16.35,30.9,low,clear,evening,low,3,687.22
13.68,25.4,medium,rainy,morning,high,3,916.04
8.06,21.6,low,clear,morning,low,2,347.86
9.82,22.3,medium,clear,evening,high,2,718.87
14.96,34.5,medium,clear,morning,low,4,777.85
12.74,25.9,low,clear,evening,high,1,675.83
1.39,14.0,,clear,night,low,3,375.53
23.28,55.6,medium,rainy,morning,low,3,1230.74
25.18,56.0,low,clear,morning,high,4,1302.49
4.61,6.0,low,clear,night,low,3,329.26
,23.8,low,clear,evening,high,2,709.1
3.75,8.5,low,clear,morning,low,2,211.27
19.08,42.5,low,clear,night,low,2,831.88
8.45,21.8,high,clear,night,low,2,651.83
18.74,31.0,low,clear,evening,low,1,725.11
20.57,44.5,low,rainy,evening,low,3,992.65
21.71,49.2,medium,clear,morning,low,1,869.9
3.73,10.1,medium,clear,morning,low,3,291.89
25.72,74.1,high,clear,evening,high,4,2131.46
7.06,,medium,rainy,morning,high,4,713.74
1.82,10.5,,clear,evening,high,1,311.41
15.89,44.2,low,rainy,night,low,4,967.36
10.89,32.9,high,rainy,morning,low,1,742.91
23.37,46.3,medium,rainy,evening,low,2,1173.65
22.78,60.3,high,clear,morning,high,1,1472.9
9.43,18.3,low,clear,night,high,1,567.4
26.72,59.6,high,clear,morning,low,1,1319.05
8.71,18.3,medium,clear,evening,,1,568.06
,36.9,low,clear,evening,low,4,721.06
7.76,18.8,medium,rainy,morning,low,1,432.08
26.26,53.0,medium,rainy,evening,low,2,1276.45
5.28,13.2,low,clear,evening,low,3,353.58
2.02,5.8,medium,clear,evening,high,4,389.45
12.63,36.5,high,clear,evening,high,4,1198.46
27.79,59.0,low,clear,night,low,1,1186.77
25.05,47.7,medium,clear,evening,low,4,1234.57
21.16,44.2,low,clear,evening,high,3,1131.44
25.03,59.1,low,clear,morning,high,1,1158.76
25.1,62.6,high,clear,evening,low,2,1424.34
14.91,33.5,medium,rainy,evening,,4,897.08
9.39,19.6,low,clear,evening,low,2,435.87
21.8,48.9,high,rainy,morning,low,1,1201.94
18.8,49.1,high,clear,night,high,4,1723.46
10.96,23.3,low,rainy,morning,low,4,616.92
3.37,19.2,high,clear,evening,high,4,624.26
21.11,34.2,low,clear,morning,low,4,758.05
,28.2,high,rainy,night,low,4,912.1
26.28,,medium,,morning,high,2,1477.34
7.35,17.2,medium,rainy,morning,low,1,421.96
4.14,3.0,low,clear,night,low,3,277.41
23.41,68.5,high,clear,night,high,1,1958.99
4.97,9.5,low,clear,morning,high,2,318.82
5.68,11.8,low,clear,evening,low,3,368.94
17.1,25.0,low,clear,evening,low,4,732.68
24.59,56.5,medium,clear,night,low,2,1204.21
6.14,12.6,low,clear,morning,low,2,297.63
9.24,25.3,high,rainy,evening,low,3,809.07
21.95,49.5,medium,clear,evening,low,1,1048.35
27.23,57.8,low,rainy,evening,high,3,1538.0
14.42,31.5,low,clear,evening,high,3,865.77
4.71,,low,clear,evening,high,3,426.86
1.18,10.6,medium,clear,morning,high,2,279.32
7.05,26.6,high,rainy,,high,4,1048.63
8.03,22.5,low,clear,night,high,2,557.74
19.23,38.9,high,clear,evening,high,3,1425.72
4.11,10.4,low,clear,morning,low,2,226.04
14.57,37.7,high,clear,morning,low,1,778.83
19.68,42.1,high,clear,,low,3,1177.87
16.61,41.3,medium,rainy,morning,low,1,849.37
6.23,20.4,medium,clear,night,low,4,591.46
22.67,51.6,high,clear,morning,low,3,1224.54
20.26,41.8,low,rainy,evening,low,2,884.09
20.9,36.2,low,clear,night,low,2,895.2
4.36,8.6,low,rainy,morning,low,3,284.16
4.17,14.4,medium,clear,morning,high,2,344.4
26.03,,medium,clear,evening,high,2,1456.61
11.61,29.7,medium,clear,evening,low,2,642.33
